"Date","Price","Open","High","Low","Vol.","Change %"
"09/14/2021","7,076.3","7,099.7","7,193.5","7,052.9","133.15K","-1.31%"
"09/13/2021","7,170.0","7,240.3","7,240.3","7,170.0","85.78K","0.00%"
"09/10/2021","7,170.0","7,193.5","7,216.9","7,146.6","64.66K","-0.33%"
"09/09/2021","7,193.5","7,076.3","7,380.9","7,076.3","87.06K","0.99%"
"09/08/2021","7,123.2","7,076.3","7,216.9","7,076.3","75.54K","-1.30%"
"09/07/2021","7,216.9","7,451.2","7,451.2","7,170.0","198.02K","-3.45%"
"09/06/2021","7,474.6","7,498.1","7,498.1","7,263.8","219.15K","3.57%"
"09/01/2021","7,216.9","7,146.6","7,263.8","7,146.6","84.72K","1.32%"
"08/31/2021","7,123.2","7,077.8","7,259.3","7,055.1","270.36K","0.97%"
"08/30/2021","7,055.1","6,851.0","7,055.1","6,851.0","179.89K","4.01%"
"08/27/2021","6,782.9","6,828.3","6,851.0","6,737.5","34.36K","-0.66%"
"08/26/2021","6,828.3","6,828.3","6,941.7","6,828.3","28.81K","0.00%"
"08/25/2021","6,828.3","6,714.8","6,828.3","6,669.5","110.54K","0.00%"
"08/24/2021","6,828.3","6,737.5","6,896.3","6,669.5","77.67K","-0.33%"
"08/23/2021","6,851.0","6,805.6","6,851.0","6,714.8","106.48K","-1.31%"
"08/20/2021","6,941.7","7,055.1","7,077.8","6,896.3","196.10K","-1.61%"
"08/19/2021","7,055.1","7,077.8","7,123.2","6,987.1","107.12K","-0.32%"
"08/18/2021","7,077.8","7,032.4","7,100.5","7,032.4","156.63K","1.30%"
"08/17/2021","6,987.1","6,941.7","7,009.8","6,896.3","166.23K","1.32%"
"08/16/2021","6,896.3","6,805.6","6,896.3","6,760.2","78.74K","2.01%"
"08/13/2021","6,760.2","6,851.0","6,873.6","6,760.2","110.11K","-1.33%"
"08/12/2021","6,851.0","6,896.3","6,896.3","6,805.6","123.98K","-0.98%"
"08/11/2021","6,919.0","6,987.1","7,009.8","6,873.6","59.11K","-0.65%"
"08/10/2021","6,964.4","6,964.4","7,032.4","6,896.3","126.75K","1.32%"
"08/09/2021","6,873.6","6,760.2","7,032.4","6,760.2","431.26K","2.36%"
"08/06/2021","6,714.8","6,714.8","6,805.6","6,624.1","62.31K","0.00%"
"08/05/2021","6,714.8","6,578.7","6,714.8","6,578.7","87.06K","1.72%"
"08/04/2021","6,601.4","6,488.0","6,601.4","6,442.6","68.71K","1.75%"
"08/03/2021","6,488.0","6,306.5","6,488.0","6,306.5","108.40K","2.51%"
"08/02/2021","6,329.2","6,193.1","6,351.9","6,170.4","100.29K","1.45%"
"07/30/2021","6,238.5","6,193.1","6,351.9","6,125.0","110.75K","0.37%"
"07/29/2021","6,215.8","6,215.8","6,261.1","6,170.4","73.41K","0.00%"
"07/28/2021","6,215.8","6,193.1","6,261.1","6,170.4","100.08K","0.00%"
"07/27/2021","6,215.8","6,261.1","6,351.9","6,193.1","76.18K","-2.14%"
"07/26/2021","6,351.9","6,397.2","6,397.2","6,170.4","119.71K","-1.06%"
"07/23/2021","6,419.9","6,488.0","6,533.4","6,261.1","145.74K","-1.05%"
"07/22/2021","6,488.0","6,329.2","6,488.0","6,238.5","120.35K","2.14%"
"07/21/2021","6,351.9","6,193.1","6,419.9","6,193.1","49.93K","0.72%"
"07/20/2021","6,306.5","6,306.5","6,306.5","6,034.3","68.92K","1.46%"
"07/19/2021","6,215.8","6,306.5","6,329.2","6,125.0","105.41K","-3.52%"
"07/16/2021","6,442.6","6,465.3","6,488.0","6,329.2","111.82K","-1.39%"
"07/15/2021","6,533.4","6,510.7","6,533.4","6,442.6","31.58K","0.70%"
"07/14/2021","6,488.0","6,351.9","6,533.4","6,215.8","57.19K","2.51%"
"07/13/2021","6,329.2","6,238.5","6,374.6","6,125.0","164.52K","1.45%"
"07/12/2021","6,238.5","6,714.8","6,714.8","6,215.8","232.59K","-6.46%"
"07/09/2021","6,669.5","6,805.6","6,851.0","6,669.5","119.28K","-2.33%"
"07/08/2021","6,828.3","7,032.4","7,032.4","6,760.2","113.10K","-0.99%"
"07/07/2021","6,896.3","6,782.9","7,055.1","6,669.5","238.14K","-3.19%"
"07/06/2021","7,123.2","7,486.1","7,486.1","7,123.2","72.34K","-3.68%"
"07/05/2021","7,395.4","7,554.2","7,713.0","7,350.0","288.07K","-1.21%"
"07/02/2021","7,486.1","7,032.4","7,486.1","7,009.8","672.60K","6.79%"
"07/01/2021","7,009.8","6,987.1","7,032.4","6,919.0","64.02K","0.00%"
